technology,hour,value
Wind,325,1.6
Wind,326,1.8
Wind,327,1.1
Wind,328,1.1
Wind,329,0.5
Wind,330,0.6
Wind,331,0.5
Wind,332,0.5
Wind,333,1
Wind,334,0.7
Wind,335,0.7
Wind,336,0.6
Wind,337,0.5
Wind,338,0.5
Wind,339,2
Wind,340,1.8
Wind,341,1.5
Wind,342,0.6
Wind,343,0.6
Wind,344,0.5
Wind,345,0.7
Wind,346,0.6
Wind,347,0.5
Wind,348,0.5
Wind,349,0.5
Wind,350,1
Wind,351,1.3
Wind,352,0.9
Wind,353,1.5
Wind,354,1.8
Wind,355,2.2
Wind,356,1.9
Wind,357,2.1
Wind,358,2.4
Wind,359,2.2
Wind,360,2.6
Wind,361,1.8
Wind,362,2.4
Wind,363,2.1
Wind,364,2.1
Wind,365,2.5
Wind,366,2.9
Wind,367,2.7
Wind,368,2.8
Wind,369,2.9
Wind,370,3.3
Wind,371,3.6
Wind,372,3.4
Wind,373,1.5
Wind,374,3.1
Wind,375,2.7
Wind,376,2.7
Wind,377,3.6
Wind,378,3.3
Wind,379,2.4
Wind,380,2.7
Wind,381,2.7
Wind,382,2.8
Wind,383,3.3
Wind,384,4.4
Wind,385,4.1
Wind,386,4.6
Wind,387,4.2
Wind,388,3.7
Wind,389,3.9
Wind,390,3.8
Wind,391,3.6
Wind,392,3.6
Wind,393,3.7
Wind,394,2.5
Wind,395,2
Wind,396,1.6
Wind,397,1.7
Wind,398,1
Wind,399,1.2
Wind,400,0.5
Wind,401,0.7
Wind,402,1.1
Wind,403,0.9
Wind,404,0.6
Wind,405,0.8
Wind,406,1
Wind,407,0.8
Wind,408,1.2
Wind,409,1
Wind,410,0.6
Wind,411,0.9
Wind,412,0.6
Wind,413,0.7
Wind,414,0.6
Wind,415,0.6
Wind,416,0.6
Wind,417,0.6
Wind,418,0.6
Wind,419,1
Wind,420,1
Wind,421,1.3
Wind,422,1.8
Wind,423,2
Wind,424,1.9
Wind,425,1.5
Wind,426,1.3
Wind,427,1.8
Wind,428,0.9
Wind,429,0.8
Wind,430,1.3
Wind,431,3.2
Wind,432,3.6
Wind,433,4
Wind,434,3.5
Wind,435,3
Wind,436,2.2
Wind,437,2.6
Wind,438,3.5
Wind,439,3.6
Wind,440,2.6
Wind,441,2.3
Wind,442,3.1
Wind,443,2.8
Wind,444,3.1
Wind,445,3.2
Wind,446,2.9
Wind,447,3.8
Wind,448,3.3
Wind,449,3.4
Wind,450,2.3
Wind,451,2.7
Wind,452,3.1
Wind,453,4
Wind,454,4.1
Wind,455,4.7
Wind,456,2.8
Wind,457,3
Wind,458,4.1
Wind,459,4.3
Wind,460,3.7
Wind,461,3.3
Wind,462,3.2
Wind,463,3.5
Wind,464,4.3
Wind,465,4.2
Wind,466,4.1
Wind,467,3.1
Wind,468,3.3
Wind,469,2
Wind,470,1.8
Wind,471,2.1
Wind,472,1.5
Wind,473,1.3
Wind,474,0.9
Wind,475,0.8
Wind,476,0.9
Wind,477,1.1
Wind,478,1.4
Wind,479,1.6
Wind,480,2.5
Wind,481,2.8
Wind,482,3.3
Wind,483,2.2
Wind,484,2.1
Wind,485,2
Wind,486,2
Wind,487,1.7
Wind,488,2.5
Wind,489,2.1
Wind,490,2.3
Wind,491,2.2
Wind,492,2.4
Wind,493,2.4
Wind,494,2.9
Wind,495,3.3
Wind,496,3.1
Wind,497,3.2
Wind,498,2.7
Wind,499,3
Wind,500,3
Wind,501,2.6
Wind,502,2.6
Wind,503,2.6
Wind,504,2.3
Wind,505,2.3
Wind,506,2.8
Wind,507,2.3
Wind,508,2.2
Wind,509,2.1
Wind,510,2.1
Wind,511,2.4
Wind,512,2.2
Wind,513,1.7
Wind,514,1.4
Wind,515,0.8
Wind,516,1.2
Wind,517,0.8
Wind,518,1.1
Wind,519,1.3
Wind,520,1.4
Wind,521,0.8
Wind,522,0.6
Wind,523,0.6
Wind,524,0.5
Wind,525,0.6
Wind,526,1.1
Wind,527,1.8
Wind,528,1.7
Wind,529,1.3
Wind,530,1.3
Wind,531,1.8
Wind,532,1
Wind,533,1.4
Wind,534,0.9
Wind,535,1.2
Wind,536,1.1
Wind,537,0.8
Wind,538,0.8
Wind,539,0.9
Wind,540,0.5
Wind,541,0.6
Wind,542,1.1
Wind,543,0.7
Wind,544,0.6
Wind,545,0.5
Wind,546,0.6
Wind,547,0.6
Wind,548,0.8
Wind,549,2.3
Wind,550,2
Wind,551,1.9
Wind,552,1.8
Wind,553,1.7
Wind,554,1.7
Wind,555,1
Wind,556,1.1
Wind,557,1.2
Wind,558,1.6
Wind,559,1.4
Wind,560,1.7
Wind,561,1
Wind,562,0.7
Wind,563,0.7
Wind,564,0.5
Wind,565,1
Wind,566,0.9
Wind,567,0.8
Wind,568,1.1
Wind,569,0.9
Wind,570,1.5
Wind,571,2.2
Wind,572,1.9
Wind,573,1.6
Wind,574,1.9
Wind,575,1.7
Wind,576,1.4
