technology,hour,value
Heat,239,20378.981700000004
Heat,240,22734.25
Heat,241,23929.894400000005
Heat,242,24592.435400000002
Heat,243,24368.6359
Heat,244,23404.231300000003
Heat,245,22593.2386
Heat,246,22757.043300000005
Heat,247,25190.375700000004
Heat,248,25157.662000000004
Heat,249,26235.206400000003
Heat,250,26375.273000000005
Heat,251,23641.7304
Heat,252,21698.8673
Heat,253,24572.830800000003
Heat,254,24812.219500000003
Heat,255,25794.457200000004
Heat,256,26443.180500000002
Heat,257,27165.7163
Heat,258,24703.095100000002
Heat,259,21574.9804
Heat,260,22854.712
Heat,261,25329.261300000002
Heat,262,25884.4494
Heat,263,26395.7043
Heat,264,26288.469500000003
Heat,265,24139.1676
Heat,266,21910.9749
Heat,267,23991.070200000002
Heat,268,25856.932100000005
Heat,269,26081.558300000004
Heat,270,25130.853300000002
Heat,271,24594.797400000003
Heat,272,24612.1581
Heat,273,22937.2639
Heat,274,24545.313500000004
Heat,275,26097.856100000005
Heat,276,25290.642600000003
Heat,277,24627.629200000003
Heat,278,25043.6955
Heat,279,23902.849500000004
Heat,280,22576.586500000005
Heat,281,24132.1997
Heat,282,25112.429700000004
Heat,283,25269.857000000004
Heat,284,25232.655500000004
Heat,285,24360.2508
Heat,286,23929.0677
Heat,287,21474.831600000005
Heat,288,23978.9059
Heat,289,25638.683300000004
Heat,290,24976.614700000002
Heat,291,25576.326500000003
Heat,292,25834.375
Heat,293,22956.750400000004
Heat,294,21752.4847
Heat,295,22933.4847
Heat,296,25695.253200000003
Heat,297,24575.783300000003
Heat,298,24586.648500000003
Heat,299,24590.0734
Heat,300,23642.793300000005
Heat,301,21111.674100000004
Heat,302,22672.2475
Heat,303,24565.3905
Heat,304,24331.198200000003
Heat,305,24158.0636
Heat,306,25081.133200000004
Heat,307,23089.1405
Heat,308,20997.9438
Heat,309,22135.719200000003
Heat,310,23485.7203
Heat,311,23115.594900000004
Heat,312,24294.9415
Heat,313,23591.183600000004
Heat,314,22482.933200000003
Heat,315,20842.0518
Heat,316,18583.389300000003
Heat,317,19246.757
Heat,318,21071.992500000004
Heat,319,23282.470200000003
Heat,320,24679.475100000003
Heat,321,24847.4133
Heat,322,25168.763400000003
Heat,323,23184.092900000003
Heat,324,22743.461800000005
Heat,325,23443.558600000004
Heat,326,25772.018200000002
Heat,327,25754.303200000002
Heat,328,26599.7811
Heat,329,27040.412200000006
Heat,330,23724.046100000003
Heat,331,21927.7451
Heat,332,25283.3204
Heat,333,25578.924700000003
Heat,334,26222.5697
Heat,335,27238.702100000002
Heat,336,27632.5656
Heat,337,24528.6614
Heat,338,21600.017600000003
Heat,339,23552.446800000005
Heat,340,26017.193800000005
Heat,341,26447.195900000006
Heat,342,27033.090000000004
Heat,343,26906.486800000002
Heat,344,24145.663100000005
Heat,345,21923.965900000003
Heat,346,24856.861300000004
Heat,347,26285.162700000004
Heat,348,26635.093
Heat,349,25920.942300000002
Heat,350,25155.300000000003
Heat,351,24427.922100000003
Heat,352,22786.804500000002
Heat,353,25536.526800000003
Heat,354,26715.755300000004
Heat,355,26073.0551
Heat,356,25245.056
Heat,357,25800.9527
Heat,358,23917.139600000002
Heat,359,22511.985800000002
Heat,360,24895.952400000002
Heat,361,25835.556
Heat,362,26094.431200000003
Heat,363,25795.165800000002
Heat,364,24981.338700000004
Heat,365,24101.257500000003
Heat,366,21575.452800000003
Heat,367,24976.142300000003
Heat,368,26497.978900000002
Heat,369,25792.9219
Heat,370,26234.261600000005
Heat,371,26573.799100000004
Heat,372,23075.4409
Heat,373,21780.002000000004
Heat,374,23618.2285
Heat,375,25961.923000000003
Heat,376,25121.523400000002
Heat,377,25291.705500000004
Heat,378,25314.4988
Heat,379,23797.7405
Heat,380,21300.397900000004
Heat,381,23500.128500000003
Heat,382,25173.369300000002
Heat,383,24836.902400000003
Heat,384,25031.7674
Heat,385,25604.08
Heat,386,23163.779700000003
Heat,387,21350.5904
Heat,388,23071.071200000002
Heat,389,24159.008400000002
Heat,390,24110.4693
Heat,391,24659.9886
Heat,392,24000.282000000003
Heat,393,22770.270500000002
Heat,394,21005.620300000002
Heat,395,18341.638600000002
Heat,396,19262.3462
Heat,397,22863.8057
Heat,398,24574.366100000003
Heat,399,26226.585100000004
Heat,400,25660.649900000004
Heat,401,26486.877500000002
Heat,402,23212.6731
Heat,403,22581.428600000003
Heat,404,25259.8185
Heat,405,27183.431300000004
Heat,406,26882.5125
Heat,407,28087.604900000002
Heat,408,28400.097500000003
Heat,409,23593.5456
Heat,410,21957.742500000004
Heat,411,26965.773000000005
Heat,412,26918.533000000003
Heat,413,27873.017200000002
Heat,414,28510.1667
Heat,415,28908.399900000004
Heat,416,24238.962100000004
Heat,417,21482.626200000002
Heat,418,25403.073800000002
Heat,419,27559.934100000002
Heat,420,27873.4896
Heat,421,28429.386300000002
Heat,422,28599.2141
Heat,423,24514.017000000003
Heat,424,22150.481700000004
Heat,425,26512.977600000002
Heat,426,27814.793900000004
Heat,427,27951.789900000003
Heat,428,27273.895900000003
Heat,429,26660.0121
Heat,430,24480.004200000003
Heat,431,23006.824800000002
Heat,432,27212.3658
Heat,433,28231.6869
Heat,434,27351.3695
Heat,435,26660.130200000003
Heat,436,27378.5325
Heat,437,24042.207500000004
Heat,438,22348.771600000004
Heat,439,26641.942800000004
Heat,440,27265.6289
Heat,441,27653.3512
Heat,442,27308.026800000007
Heat,443,26338.425800000005
Heat,444,24041.026500000004
Heat,445,21582.302600000003
Heat,446,26557.265100000004
Heat,447,27912.580700000006
Heat,448,27015.4931
Heat,449,27638.1163
Heat,450,27844.9094
Heat,451,23187.281600000002
Heat,452,21778.5848
Heat,453,25227.813400000003
Heat,454,27403.333500000004
Heat,455,26727.329100000003
Heat,456,26689.8914
Heat,457,26707.134000000005
Heat,458,23705.386300000002
Heat,459,21350.4723
Heat,460,25312.136800000004
Heat,461,26647.847800000003
Heat,462,26527.385800000004
Heat,463,26593.521800000002
Heat,464,27108.2016
Heat,465,23334.670400000003
Heat,466,21563.170400000003
Heat,467,25020.193600000002
Heat,468,25655.335400000004
Heat,469,25682.970800000003
Heat,470,25931.689400000003
Heat,471,25541.8413
Heat,472,23059.969800000003
Heat,473,21191.627800000002
Heat,474,45365.753000000004
Heat,475,47719.19075
Heat,476,65457.810750000004
Heat,477,68089.9645
Heat,478,72484.17025000001
Heat,479,68413.85375000001
Heat,480,72556.80175
Heat,481,59375.956000000006
Heat,482,56310.6705
Heat,483,72441.65425
Heat,484,75440.80375
Heat,485,75169.469
Heat,486,78737.86050000001
Heat,487,79007.1285
Heat,488,59375.070250000004
Heat,489,55982.057250000005
Heat,490,76644.83325
Heat,491,75658.9935
Heat,492,77782.72675
Heat,493,79486.31925
Heat,494,79301.788
Heat,495,61649.676250000004
Heat,496,53973.4715
Heat,497,73090.909
Heat,498,76433.13900000001
Heat,499,78206.70575000001
Heat,500,79289.3875
Heat,501,79805.4845
Heat,502,62730.88175
Heat,503,56070.337
Heat,504,75210.50875000001
Heat,505,77741.39175000001
Heat,506,78248.9265
Heat,507,76179.51925
Heat,508,75241.80525
Heat,509,62369.791000000005
Heat,510,57560.759000000005
Heat,511,76991.1615
Heat,512,78294.98550000001
Heat,513,77358.15725
Heat,514,75056.6835
Heat,515,76604.9745
Heat,516,61666.210250000004
Heat,517,56553.366
Heat,518,76147.337
