technology,hour,value
Temperature,290,8.6
Temperature,291,9.3
Temperature,292,9.3
Temperature,293,9.6
Temperature,294,9.6
Temperature,295,9.6
Temperature,296,9.8
Temperature,297,8.6
Temperature,298,7.9
Temperature,299,8.3
Temperature,300,9.1
Temperature,301,9.1
Temperature,302,9.5
Temperature,303,8.7
Temperature,304,8.2
Temperature,305,7.8
Temperature,306,7.5
Temperature,307,6.9
Temperature,308,7.2
Temperature,309,7.1
Temperature,310,7.0
Temperature,311,7.1
Temperature,312,6.9
Temperature,313,6.7
Temperature,314,6.4
Temperature,315,6.6
Temperature,316,6.3
Temperature,317,6.2
Temperature,318,5.7
Temperature,319,5.3
Temperature,320,5.2
Temperature,321,5.9
Temperature,322,6.0
Temperature,323,6.6
Temperature,324,7.5
Temperature,325,7.7
Temperature,326,8.0
Temperature,327,7.9
Temperature,328,7.3
Temperature,329,6.7
Temperature,330,6.6
Temperature,331,6.5
Temperature,332,6.4
Temperature,333,6.8
Temperature,334,7.3
Temperature,335,7.5
Temperature,336,7.6
Temperature,337,8.3
Temperature,338,8.6
Temperature,339,9.2
Temperature,340,8.8
Temperature,341,8.5
Temperature,342,7.6
Temperature,343,6.2
Temperature,344,5.6
Temperature,345,5.1
Temperature,346,4.2
Temperature,347,3.6
Temperature,348,3.6
Temperature,349,3.1
Temperature,350,4.1
Temperature,351,4.2
Temperature,352,3.6
Temperature,353,3.6
Temperature,354,3.6
Temperature,355,3.0
Temperature,356,3.2
Temperature,357,3.2
Temperature,358,3.1
Temperature,359,2.7
Temperature,360,2.2
Temperature,361,2.3
Temperature,362,2.0
Temperature,363,2.3
Temperature,364,2.6
Temperature,365,2.5
Temperature,366,2.2
Temperature,367,1.1
Temperature,368,1.7
Temperature,369,3.4
Temperature,370,4.6
Temperature,371,5.3
Temperature,372,6.1
Temperature,373,5.6
Temperature,374,5.7
Temperature,375,4.9
Temperature,376,-999.0
Temperature,377,-999.0
Temperature,378,-999.0
Temperature,379,-999.0
Temperature,380,-999.0
Temperature,381,-999.0
Temperature,382,-999.0
Temperature,383,-999.0
Temperature,384,-999.0
Temperature,385,-999.0
Temperature,386,-999.0
Temperature,387,-999.0
Temperature,388,-999.0
Temperature,389,-999.0
Temperature,390,-999.0
Temperature,391,-999.0
Temperature,392,-999.0
Temperature,393,-999.0
Temperature,394,-999.0
Temperature,395,3.1
Temperature,396,4.0
Temperature,397,4.0
Temperature,398,3.7
Temperature,399,3.2
Temperature,400,-0.3
Temperature,401,-1.3
Temperature,402,-1.3
Temperature,403,-1.1
Temperature,404,-1.3
Temperature,405,-0.1
Temperature,406,0.0
Temperature,407,-0.3
Temperature,408,-0.7
Temperature,409,-0.2
Temperature,410,-0.6
Temperature,411,-0.5
Temperature,412,-0.4
Temperature,413,-0.5
Temperature,414,-0.6
Temperature,415,-0.5
Temperature,416,-0.4
Temperature,417,-0.3
Temperature,418,0.0
Temperature,419,0.2
Temperature,420,0.5
Temperature,421,0.6
Temperature,422,0.5
Temperature,423,0.7
Temperature,424,0.4
Temperature,425,0.1
Temperature,426,-0.6
Temperature,427,-0.6
Temperature,428,-0.7
Temperature,429,-1.5
Temperature,430,-4.1
Temperature,431,-5.2
Temperature,432,-6.6
Temperature,433,-7.8
