Technology,Hour,Fuel,value
PHS,2361,Power,134.46125811188875
PHS,634,Power,0.0
Battery,2533,Power,205.27986240245573
H2Tank,4449,H2,2.9819556950394018e-6
Battery,788,Power,0.0
PHS,7775,Power,0.0
Battery,2535,Power,213.13182995779079
H2Tank,7214,H2,6.993070104754214e-6
H2Tank,6665,H2,5.4391874125281115e-6
H2Tank,5120,H2,6.585193039003638e-6
Battery,519,Power,863.4113523291969
H2Tank,2458,H2,5.640698644273898e-6
PHS,3101,Power,884.6220523464475
PHS,5145,Power,-0.0
Battery,4279,Power,0.0
Battery,3976,Power,0.0
PHS,8193,Power,5.260080933104605
H2Tank,4560,H2,2.1770219262903652e-6
H2Tank,5269,H2,5.867017261122195e-6
PHS,2722,Power,819.1421450701461
Battery,3005,Power,164.15564121281554
Battery,2388,Power,390.65452193546184
H2Tank,2243,H2,4.721739683616816e-6
PHS,8483,Power,-0.0
H2Tank,4609,H2,1.638258619958456e-6
H2Tank,3613,H2,5.644560838033851e-6
H2Tank,7638,H2,6.1177827728063405e-6
H2Tank,1497,H2,4.297995391379335e-6
H2Tank,8677,H2,2.8188020413644974e-6
PHS,3820,Power,103.27135993378879
H2Tank,2580,H2,5.182796838995194e-6
PHS,4126,Power,98.41280631857758
Battery,5680,Power,-0.0
H2Tank,4381,H2,3.3536254011338105e-6
Battery,7927,Power,538.8055076776727
PHS,8129,Power,299.29947650401124
H2Tank,7748,H2,4.111865077682133e-6
Battery,786,Power,0.0
H2Tank,5590,H2,2.5664206850728923e-6
H2Tank,8293,H2,2.3327763405289933e-6
PHS,6016,Power,-0.0
PHS,497,Power,485.13182877238705
H2Tank,211,H2,7.856550320200172e-6
H2Tank,3035,H2,2.7969817775704724e-6
Battery,1717,Power,602.7820107981926
PHS,7202,Power,380.36055711718916
PHS,223,Power,1335.9977469648227
PHS,2483,Power,120.16009641046396
H2Tank,3867,H2,6.088454415652362e-6
H2Tank,8128,H2,1.3509082941035105e-6
PHS,1388,Power,1723.973838168306
H2Tank,4953,H2,5.256555974949466e-6
H2Tank,1380,H2,8.131577533681105e-6
Battery,8320,Power,18.41447431493149
Battery,2555,Power,81.35190498313946
H2Tank,966,H2,5.8900038169557825e-6
H2Tank,6969,H2,7.314850785303292e-6
Battery,2462,Power,0.0
PHS,259,Power,1239.5841623375657
PHS,7288,Power,1585.6803976857875
PHS,8741,Power,731.321277117023
H2Tank,5016,H2,6.032270240468217e-6
H2Tank,8376,H2,1.4413475267540204e-6
PHS,7144,Power,197.16119052954937
Battery,5805,Power,0.0
H2Tank,7147,H2,7.147055996154751e-6
Battery,3765,Power,0.0
Battery,1828,Power,0.0
PHS,6244,Power,0.0
H2Tank,4540,H2,2.499153201294962e-6
PHS,6459,Power,63.64401283843005
H2Tank,5891,H2,1.4106620297722597e-6
Battery,5433,Power,28.9017346961462
Battery,1588,Power,274.00944160108656
PHS,6456,Power,18.745177153103075
H2Tank,2605,H2,4.916363430736434e-6
Battery,4889,Power,0.0
PHS,4196,Power,52.311967726418985
H2Tank,3875,H2,5.822021007393602e-6
Battery,4436,Power,160.59912619102894
Battery,6804,Power,0.0
PHS,1411,Power,1990.4518177919972
Battery,5050,Power,0.0
Battery,1405,Power,491.8571958948127
H2Tank,19,H2,4.512423484173772e-6
Battery,6541,Power,8.768422444514066
H2Tank,979,H2,5.871525509987718e-6
H2Tank,4808,H2,1.981234714505859e-6
Battery,4464,Power,0.0
PHS,6258,Power,98.33402098286686
PHS,3288,Power,0.0
PHS,5591,Power,-0.0
PHS,8143,Power,23.115210699489616
Battery,400,Power,698.2350736028179
Battery,2720,Power,494.558757120116
Battery,2857,Power,664.1668976416682
Battery,5093,Power,0.0
