Technology,Hour,Fuel,value
H2Tank,7525,H2,6.9787028005146155e-6
Battery,4316,Power,142.37221131351697
PHS,7312,Power,1113.3305562423693
H2Tank,2515,H2,5.1637926403438505e-6
H2Tank,4072,H2,4.745546178096356e-6
Battery,7166,Power,471.5716948277441
H2Tank,2640,H2,4.972324243323906e-6
PHS,8098,Power,213.06479090688336
Battery,1754,Power,999.0
H2Tank,4215,H2,4.449630320765686e-6
PHS,5870,Power,0.0
Battery,5413,Power,50.87593234277965
H2Tank,3422,H2,4.650110974454675e-6
Battery,3430,Power,0.0
Battery,6405,Power,0.0
PHS,552,Power,0.0
PHS,7410,Power,68.85294598464839
H2Tank,6419,H2,3.1495271215912664e-6
H2Tank,810,H2,6.416185306134002e-6
H2Tank,236,H2,7.379644316270116e-6
Battery,6398,Power,0.0
H2Tank,2016,H2,2.6179142457271772e-6
H2Tank,4085,H2,4.348975783536227e-6
PHS,2436,Power,86.296775196285
