Technology,Hour,Fuel,value
H2Tank,70,H2,54.22368331293259
H2Tank,87,H2,113.38193613419456
H2Tank,106,H2,76.35421071708004
Battery,45,Power,5.0713244479799355
H2Tank,60,H2,134.1070931184051
H2Tank,33,H2,94.11118332686047
PHS,70,Power,-0.0
H2Tank,51,H2,53.11645698574999
Battery,38,Power,5.074875795490463
PHS,115,Power,-0.0
PHS,64,Power,-0.0
Battery,52,Power,-0.0
PHS,112,Power,-0.0
H2Tank,62,H2,122.08688689187997
H2Tank,71,H2,44.925452133985225
PHS,88,Power,-0.0
PHS,8,Power,-0.0
PHS,96,Power,-0.0
Battery,64,Power,1.973087989500563
Battery,9,Power,0.0
H2Tank,16,H2,11.099789535403797
Battery,34,Power,5.076906253397754
PHS,59,Power,-0.0
Battery,82,Power,5.256228733677961
Battery,109,Power,5.24205535009464
H2Tank,31,H2,82.70305817514902
PHS,25,Power,-0.0
Battery,70,Power,1.9719044326306026
H2Tank,32,H2,94.11118332686047
H2Tank,40,H2,45.55103042159732
Battery,5,Power,1.3561030594609105
Battery,61,Power,1.9736800343024266
PHS,54,Power,-0.0
Battery,63,Power,1.9732853180323664
Battery,97,Power,5.24834990722675
H2Tank,114,H2,65.65018758167622
Battery,43,Power,5.072338865029552
Battery,77,Power,-0.0
Battery,72,Power,0.0
H2Tank,110,H2,66.72350329447454
PHS,12,Power,-0.0
Battery,20,Power,-0.0
Battery,48,Power,0.0
PHS,11,Power,-0.0
H2Tank,45,H2,27.468405723324633
Battery,90,Power,5.252025222140753
Battery,16,Power,-0.0
H2Tank,55,H2,124.50182900274999
Battery,6,Power,1.500618102299602
Battery,41,Power,5.0733534849930155
Battery,42,Power,5.0728461496445165
H2Tank,100,H2,80.51915484566783
H2Tank,111,H2,66.72350329447454
H2Tank,25,H2,0.0
Battery,37,Power,5.075383333823845
H2Tank,22,H2,7.864815938394954
PHS,4,Power,-0.0
H2Tank,72,H2,34.39913634451154
H2Tank,96,H2,80.5203381268872
Battery,79,Power,-0.0
Battery,40,Power,5.073860871080123
Battery,11,Power,-0.0
H2Tank,80,H2,147.34611436115293
H2Tank,95,H2,85.46105672389604
PHS,90,Power,-0.0
H2Tank,54,H2,110.91547492974999
H2Tank,86,H2,118.3410376289314
PHS,29,Power,-0.0
PHS,89,Power,0.0
H2Tank,108,H2,75.6584041305975
PHS,40,Power,-0.0
H2Tank,91,H2,94.64505000787877
Battery,78,Power,-0.0
Battery,8,Power,-0.0
H2Tank,36,H2,87.65629357949206
Battery,62,Power,1.9734826662989964
PHS,28,Power,-0.0
H2Tank,58,H2,147.51986739735244
PHS,97,Power,-0.0
Battery,67,Power,1.9724961222943795
Battery,19,Power,-0.0
PHS,37,Power,-0.0
PHS,66,Power,-0.0
PHS,55,Power,-0.0
Battery,91,Power,5.251500019618539
PHS,94,Power,-0.0
PHS,103,Power,-0.0
Battery,101,Power,5.246250882143861
Battery,75,Power,-0.0
PHS,95,Power,-0.0
H2Tank,37,H2,77.12997779001837
PHS,41,Power,-0.0
Battery,68,Power,1.9722988726821502
PHS,44,Power,-0.0
Battery,94,Power,5.249924727152403
PHS,75,Power,0.0
H2Tank,78,H2,125.69783946028785
PHS,109,Power,-0.0
PHS,56,Power,-0.0
H2Tank,68,H2,60.30817308135365
Battery,51,Power,-0.0
H2Tank,4,H2,63.233617909202536
Battery,23,Power,-0.0
H2Tank,56,H2,136.52209869925
H2Tank,17,H2,11.099789535403797
PHS,63,Power,-0.0
H2Tank,35,H2,94.11118332686047
Battery,71,Power,1.9717072421873396
Battery,115,Power,5.238910903088054
PHS,15,Power,-0.0
H2Tank,81,H2,147.51986739735244
PHS,81,Power,-0.0
H2Tank,42,H2,37.30194769827268
H2Tank,117,H2,65.65018758167622
PHS,83,Power,-0.0
Battery,31,Power,4.341285104781773
H2Tank,73,H2,28.61286705503786
Battery,69,Power,1.972101642794882
PHS,43,Power,-0.0
PHS,82,Power,-0.0
PHS,93,Power,-0.0
Battery,28,Power,-0.0
PHS,92,Power,-0.0
H2Tank,14,H2,16.03641570836886
H2Tank,49,H2,0.0
H2Tank,57,H2,146.46005658425
Battery,83,Power,5.2557031108045935
PHS,77,Power,-0.0
PHS,114,Power,-0.0
H2Tank,24,H2,0.6535720706930597
Battery,60,Power,1.973877422044631
PHS,105,Power,-0.0
PHS,119,Power,-0.0
PHS,27,Power,-0.0
Battery,55,Power,-0.0
PHS,13,Power,-0.0
H2Tank,112,H2,66.72350329447454
Battery,58,Power,1.974272256753259
H2Tank,120,H2,73.75993369867622
Battery,36,Power,5.075890922916137
Battery,106,Power,5.243628281275417
H2Tank,61,H2,126.32390900261561
Battery,95,Power,5.249399734679688
H2Tank,52,H2,79.52581323724999
Battery,14,Power,-0.0
PHS,39,Power,-0.0
PHS,20,Power,-0.0
PHS,113,Power,-0.0
Battery,46,Power,5.0708173155351375
H2Tank,103,H2,76.35421071708004
H2Tank,63,H2,112.93975202872207
PHS,99,Power,-0.0
PHS,19,Power,-0.0
Battery,44,Power,5.071831631143049
H2Tank,5,H2,63.233617909202536
Battery,89,Power,5.252550477188471
Battery,110,Power,5.241531144559631
PHS,69,Power,-0.0
H2Tank,76,H2,84.78721978928786
Battery,73,Power,-0.0
H2Tank,10,H2,36.50118712044803
H2Tank,85,H2,122.69850987103666
H2Tank,44,H2,27.468405723324633
H2Tank,2,H2,63.233617909202536
H2Tank,28,H2,-0.0
Battery,1,Power,5.235768342278067
H2Tank,26,H2,0.0
Battery,54,Power,-0.0
H2Tank,12,H2,31.852043386597078
PHS,50,Power,-0.0
