Hour,Fuel,value
45,Power,18.684
45,Heat,16.488
45,Coal,0.0
45,Gas,0.0
45,H2,10.0
45,Mobility,2.8680000000000003
46,Power,21.96
46,Heat,19.548
46,Coal,0.0
46,Gas,0.0
46,H2,10.0
46,Mobility,5.292
47,Power,26.172
47,Heat,18.035999999999998
47,Coal,0.0
47,Gas,0.0
47,H2,10.0
47,Mobility,10.728
48,Power,32.4
48,Heat,13.932
48,Coal,0.0
48,Gas,0.0
48,H2,10.0
48,Mobility,13.644
49,Power,32.760000000000005
49,Heat,9.216000000000001
49,Coal,0.0
49,Gas,0.0
49,H2,10.0
49,Mobility,14.64
50,Power,27.9
50,Heat,9.36
50,Coal,0.0
50,Gas,0.0
50,H2,10.0
50,Mobility,11.207999999999998
51,Power,28.296000000000003
51,Heat,6.4799999999999995
51,Coal,0.0
51,Gas,0.0
51,H2,10.0
51,Mobility,10.728
52,Power,29.016
52,Heat,6.4799999999999995
52,Coal,0.0
52,Gas,0.0
52,H2,10.0
52,Mobility,10.26
53,Power,35.208
53,Heat,6.0120000000000005
53,Coal,0.0
53,Gas,0.0
53,H2,10.0
53,Mobility,11.688
54,Power,34.128
54,Heat,6.0120000000000005
54,Coal,0.0
54,Gas,0.0
54,H2,10.0
54,Mobility,13.152
55,Power,37.26
55,Heat,6.0120000000000005
55,Coal,0.0
55,Gas,0.0
55,H2,10.0
55,Mobility,17.16
56,Power,37.403999999999996
56,Heat,6.0120000000000005
56,Coal,0.0
56,Gas,0.0
56,H2,10.0
56,Mobility,21.828000000000003
57,Power,32.508
57,Heat,6.0120000000000005
57,Coal,0.0
57,Gas,0.0
57,H2,10.0
57,Mobility,24.492
58,Power,30.456000000000003
58,Heat,6.0120000000000005
58,Coal,0.0
58,Gas,0.0
58,H2,10.0
58,Mobility,22.884
59,Power,25.488
59,Heat,6.0120000000000005
59,Coal,0.0
59,Gas,0.0
59,H2,10.0
59,Mobility,16.644000000000002
60,Power,28.727999999999998
60,Heat,6.0120000000000005
60,Coal,0.0
60,Gas,0.0
60,H2,10.0
60,Mobility,11.207999999999998
61,Power,27.072
61,Heat,6.3
61,Coal,0.0
61,Gas,0.0
61,H2,10.0
61,Mobility,7.032
62,Power,28.764000000000003
62,Heat,6.984
62,Coal,0.0
62,Gas,0.0
62,H2,10.0
62,Mobility,4.452
63,Power,26.244
63,Heat,6.984
63,Coal,0.0
63,Gas,0.0
63,H2,10.0
63,Mobility,2.8680000000000003
64,Power,23.112000000000002
64,Heat,7.2
64,Coal,0.0
64,Gas,0.0
64,H2,10.0
64,Mobility,1.476
65,Power,20.7
65,Heat,7.308000000000001
65,Coal,0.0
65,Gas,0.0
65,H2,10.0
65,Mobility,1.2240000000000002
66,Power,18.252
66,Heat,7.56
66,Coal,0.0
66,Gas,0.0
66,H2,10.0
66,Mobility,1.2240000000000002
67,Power,18.72
67,Heat,6.588
67,Coal,0.0
67,Gas,0.0
67,H2,10.0
67,Mobility,1.476
68,Power,18.252
68,Heat,6.048
68,Coal,0.0
68,Gas,0.0
68,H2,10.0
68,Mobility,2.1359999999999997
69,Power,20.016
69,Heat,6.0120000000000005
69,Coal,0.0
69,Gas,0.0
69,H2,10.0
69,Mobility,2.8680000000000003
70,Power,22.788
70,Heat,6.048
70,Coal,0.0
70,Gas,0.0
70,H2,10.0
70,Mobility,5.292
71,Power,26.892
71,Heat,6.048
71,Coal,0.0
71,Gas,0.0
71,H2,10.0
71,Mobility,10.728
72,Power,31.644
72,Heat,7.164
72,Coal,0.0
72,Gas,0.0
72,H2,10.0
72,Mobility,13.644
73,Power,29.124
73,Heat,8.712
73,Coal,0.0
73,Gas,0.0
73,H2,10.0
73,Mobility,14.64
74,Power,31.104
74,Heat,8.712
74,Coal,0.0
74,Gas,0.0
74,H2,10.0
74,Mobility,11.207999999999998
75,Power,29.232000000000003
75,Heat,6.876
75,Coal,0.0
75,Gas,0.0
75,H2,10.0
75,Mobility,10.728
76,Power,34.992
76,Heat,6.0120000000000005
76,Coal,0.0
76,Gas,0.0
76,H2,10.0
76,Mobility,10.26
77,Power,34.884
77,Heat,6.0120000000000005
77,Coal,0.0
77,Gas,0.0
77,H2,10.0
77,Mobility,11.688
78,Power,37.908
78,Heat,6.0120000000000005
78,Coal,0.0
78,Gas,0.0
78,H2,10.0
78,Mobility,13.152
79,Power,37.224000000000004
79,Heat,6.0120000000000005
79,Coal,0.0
79,Gas,0.0
79,H2,10.0
79,Mobility,17.16
80,Power,32.436
80,Heat,6.0120000000000005
80,Coal,0.0
80,Gas,0.0
80,H2,10.0
80,Mobility,21.828000000000003
81,Power,31.644
81,Heat,6.0120000000000005
81,Coal,0.0
81,Gas,0.0
81,H2,10.0
81,Mobility,24.492
82,Power,28.476000000000003
82,Heat,6.0120000000000005
82,Coal,0.0
82,Gas,0.0
82,H2,10.0
82,Mobility,22.884
83,Power,32.904
83,Heat,6.0120000000000005
83,Coal,0.0
83,Gas,0.0
83,H2,10.0
83,Mobility,16.644000000000002
84,Power,32.292
84,Heat,6.0120000000000005
84,Coal,0.0
84,Gas,0.0
84,H2,10.0
84,Mobility,11.207999999999998
85,Power,34.488
85,Heat,6.0120000000000005
85,Coal,0.0
85,Gas,0.0
85,H2,10.0
85,Mobility,7.032
86,Power,32.184
86,Heat,6.048
86,Coal,0.0
86,Gas,0.0
86,H2,10.0
86,Mobility,4.452
87,Power,27.936
87,Heat,9.828
87,Coal,0.0
87,Gas,0.0
87,H2,10.0
87,Mobility,2.8680000000000003
88,Power,24.516000000000002
88,Heat,15.984000000000002
88,Coal,0.0
88,Gas,0.0
88,H2,10.0
88,Mobility,1.476
89,Power,20.592000000000002
89,Heat,22.032
89,Coal,0.0
89,Gas,0.0
89,H2,10.0
89,Mobility,1.2240000000000002
90,Power,20.592000000000002
90,Heat,19.116
90,Coal,0.0
90,Gas,0.0
90,H2,10.0
90,Mobility,1.2240000000000002
91,Power,19.44
91,Heat,17.099999999999998
91,Coal,0.0
91,Gas,0.0
91,H2,10.0
91,Mobility,1.476
92,Power,20.88
92,Heat,17.928
92,Coal,0.0
92,Gas,0.0
92,H2,10.0
92,Mobility,2.1359999999999997
93,Power,22.176
93,Heat,26.964000000000002
93,Coal,0.0
93,Gas,0.0
93,H2,10.0
93,Mobility,2.8680000000000003
94,Power,26.244
94,Heat,34.812
94,Coal,0.0
94,Gas,0.0
94,H2,10.0
94,Mobility,5.292
95,Power,32.04
95,Heat,33.516000000000005
95,Coal,0.0
95,Gas,0.0
95,H2,10.0
95,Mobility,10.728
96,Power,30.492
96,Heat,23.580000000000002
96,Coal,0.0
96,Gas,0.0
96,H2,10.0
96,Mobility,13.644
97,Power,33.804
97,Heat,21.456
97,Coal,0.0
97,Gas,0.0
97,H2,10.0
97,Mobility,14.64
98,Power,31.319999999999997
98,Heat,22.752
98,Coal,0.0
98,Gas,0.0
98,H2,10.0
